Word,Count
////////////////////////////////////////////////////////////////////////////,90
-,38
for,38
the,33
files,31
to,26
,25
parsing,20
AST,20
samuel.heijn@gmail.com,19
@contributor,19
Heijn,19
contains,19
Quinten,19
This,19
@date,19
@brief,19
UvA,19
a,18
file,16
tree,14
data,14
try,10
tests,10
an,10
parse,10
needed,9
03-04-2018,8
The,8
.rcp,7
.lsp,7
and,7
Transfer,7
.alp,7
TODO:,7
.grm,7
used,6
in,6
Rules,6
structure,6
errors,6
project,6
transfers,6
Parsing,5
unit,5
that,5
Then,5
06-04-2018,5
LL,5
structures,5
First,5
parsed,5
Tests,5
Syntax,5
module,5
implode,5
17-04-2018,4
syntax,4
alphabet,4
imploding,4
grammar,4
APIs,4
API,4
contain,4
Parser,4
Parses,3
recipe,3
Lexer,3
functions,3
from,3
parser,3
Layout,3
can,3
Check,3
of,3
yet,2
expressions,2
transfer,2
notation,2
be,2
Hasn't,2
is,2
registers,2
dice,2
name,2
implemented,2
Ludoscope,2
all,2
05-04-2018,2
Parse,2
been,2
LL/src/tests/testData/isolatedGrammars/OnlyStart.grm|);,1
ludoscope,1
LL/src/tests/testData/isolatedAlphabets/OnlyColors.alp|);,1
how,1
types,1
including,1
also,1
make,1
LL/src/tests/testData/isolatedProjects/SingleModule.lsp|);,1
work,1
(for,1
interface,1
hold,1
any,1
LL/src/tests/testData/isolatedGrammars/AllMemberTypes.grm|);,1
out,1
LL/src/tests/testData/isolatedRecipes/AllInstructions.rcp|);,1
as,1
new,1
what,1
Try,1
LL/src/tests/testData/isolatedGrammars/RuleWithNestedSymbol.grm|);,1
LudoscopeLight,1
LL/src/tests/testData/isolatedGrammars/AllRuleSettings.grm|);,1
console,1
LL/src/tests/testData/isolatedGrammars/AllOptions.grm|);,1
LL/src/tests/testData/isolatedProjects/MultipleModulesWithAlphabet.lsp|);,1
pasrser,1
public,1
with,1
Add,1
LL/src/tests/testData/isolatedProjects/Registers.lsp|);,1
using,1
projects,1
LL/src/tests/testData/isolatedRecipes/SingleInstruction.rcp|);,1
multiple,1
LL/src/tests/testData/isolatedGrammars/RuleWithMultipleRightHands.grm|);,1
executions,1
Light,1
LL/src/tests/testData/isolatedAlphabets/CompleteSymbol.alp|);,1
execute,1
symbols,1
LL/src/tests/testData/isolatedRecipes/Comment.rcp|);,1
'D2'),1
LL/src/tests/testData/isolatedAlphabets/SymbolWithWildCard.alp|);,1
LL/src/tests/testData/isolatedProjects/ComplexProject.lsp|);,1
LL/src/tests/testData/isolatedAlphabets/ColorsAndAbbreviation.alp|);,1
example,1
LL/src/tests/testData/isolatedRecipes/AdvancedInstructions.rcp|);,1
executing,1
They,1
accept,1
inputs,1
grammars,1
LL/src/tests/testData/isolatedRecipes/DiceNotation.rcp|);,1
':test',1
thrown,1
figure,1
catch,1
LL/src/tests/testData/isolatedProjects/CompleteModule.lsp|);,1
both,1
mutiple,1
are,1
LL/src/tests/testData/isolatedGrammars/SimpleRule.grm|);,1
run,1
functionality,1
\values,\,1
LL/src/tests/testData/isolatedProjects/Options.lsp|);,1
shape,1
this,1
use,1
Implement,1
LL/src/tests/testData/isolatedAlphabets/MixedSymbols.alp|);,1
allowed,1
LL/src/tests/testData/isolatedRecipes/BasicInstructions.rcp|);,1
integration,1
modules,1
LL/src/tests/testData/isolatedProjects/OnlyAlphabet.lsp|);,1
