Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,21,1725,1181,499,136,271,29,273,951,167,604
C:\Users\Quinten\Documents\LudoscopeLight\LL\src,21,1725,1181,499,136,271,29,273,951,167,604
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\errors,1,52,36,6,5,8,0,8,22,8,22
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing,13,1217,811,334,53,206,4,200,623,117,427
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\fromAstToData,3,439,349,181,51,48,0,42,179,27,93
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages,8,697,411,129,0,146,4,140,382,72,272
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\alphabet,2,117,61,23,0,26,1,30,85,18,69
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\grammar,2,234,144,47,0,53,0,37,89,18,66
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\project,2,201,126,39,0,39,0,36,87,18,67
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\parsing\languages\recipe,2,145,80,20,0,28,3,37,121,18,70
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests,6,430,313,149,73,52,25,65,306,42,155
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\tests\parsing,5,405,301,143,69,49,25,55,267,32,116
C:\Users\Quinten\Documents\LudoscopeLight\LL\src\util,1,26,21,10,5,5,0,0,0,0,0
